,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
0,1,240,3,3,4,-,acept,furnished,R$0,"R$8,000","R$1,000",R$121,"R$9,121"
1,0,64,2,1,1,10,acept,not furnished,R$540,R$820,R$122,R$11,"R$1,493"
2,1,443,5,5,4,3,acept,furnished,"R$4,172","R$7,000","R$1,417",R$89,"R$12,680"
3,1,73,2,2,1,12,acept,not furnished,R$700,"R$1,250",R$150,R$16,"R$2,116"
4,1,19,1,1,0,-,not acept,not furnished,R$0,"R$1,200",R$41,R$16,"R$1,257"
5,1,13,1,1,0,2,acept,not furnished,R$0,"R$2,200",R$42,R$28,"R$2,270"
6,1,55,1,1,1,2,acept,furnished,"R$1,950","R$5,000",R$375,R$64,"R$7,389"
7,1,55,2,2,1,2,acept,not furnished,R$600,"R$1,300",R$67,R$17,"R$1,984"
8,1,82,3,1,1,3,acept,furnished,R$828,"R$2,000",R$109,R$26,"R$2,963"
9,1,32,1,1,1,16,acept,not furnished,R$533,"R$2,900",R$0,R$37,"R$3,470"
10,0,60,1,1,0,6,acept,not furnished,R$480,R$720,R$20,R$10,"R$1,230"
11,0,64,1,2,1,4,acept,furnished,R$406,"R$1,550",R$0,R$7,"R$1,963"
12,1,20,1,1,0,4,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
13,1,375,4,5,5,1,acept,not furnished,"R$4,793","R$15,000","R$2,805",R$191,"R$22,790"
14,1,92,2,1,1,7,not acept,furnished,R$690,"R$3,950",R$0,R$51,"R$4,691"
15,0,56,2,1,1,1,acept,not furnished,R$345,R$950,R$11,R$13,"R$1,319"
16,0,188,2,3,8,-,acept,not furnished,R$0,"R$3,010",R$584,R$46,"R$3,640"
17,1,100,3,2,1,-,acept,not furnished,R$0,"R$3,500",R$260,R$53,"R$3,813"
18,1,192,3,3,2,13,acept,not furnished,"R$2,100","R$7,800",R$634,R$99,"R$10,630"
19,1,93,3,2,1,10,acept,not furnished,"R$1,497","R$3,500",R$227,R$45,"R$5,269"
20,1,155,3,3,2,-,acept,not furnished,R$0,"R$2,650",R$233,R$40,"R$2,923"
21,1,80,2,2,0,9,not acept,not furnished,R$600,"R$2,550",R$46,R$33,"R$3,229"
22,1,65,2,2,2,14,not acept,not furnished,R$907,"R$3,500",R$0,R$45,"R$4,452"
23,1,320,3,3,4,-,acept,not furnished,R$0,"R$9,000","R$1,000",R$136,"R$10,140"
24,1,180,3,5,3,3,acept,not furnished,"R$2,900","R$8,100",R$0,R$103,"R$11,100"
25,1,31,1,1,1,4,acept,not furnished,R$272,"R$3,200",R$64,R$41,"R$3,577"
26,1,105,4,2,2,3,acept,not furnished,"R$1,659","R$6,500",R$400,R$83,"R$8,642"
27,1,300,3,4,2,9,acept,furnished,"R$2,000","R$14,000","R$1,084",R$178,"R$17,260"
28,0,150,3,2,2,13,acept,not furnished,"R$1,370","R$1,800",R$250,R$23,"R$3,443"
29,1,130,3,3,2,-,acept,not furnished,R$0,"R$6,000",R$84,R$91,"R$6,175"
30,1,70,2,1,0,1,acept,not furnished,R$521,"R$3,000",R$50,R$39,"R$3,610"
31,1,120,3,1,4,-,acept,not furnished,R$0,"R$3,500",R$234,R$53,"R$3,787"
32,1,250,3,4,2,-,acept,not furnished,R$300,"R$3,480",R$360,R$53,"R$4,193"
33,1,50,1,1,0,1,acept,not furnished,R$325,"R$1,550",R$25,R$20,"R$1,920"
34,1,240,3,3,3,3,acept,not furnished,"R$4,132","R$3,800",R$952,R$49,"R$8,933"
35,1,250,4,4,2,-,not acept,not furnished,Sem info,"R$6,600",R$0,R$100,"R$6,700"
36,0,94,3,3,2,1,acept,not furnished,R$750,"R$2,200",R$192,R$28,"R$3,170"
37,1,176,3,4,3,4,acept,not furnished,"R$1,600","R$6,500",R$775,R$83,"R$8,958"
38,1,180,3,4,5,-,acept,not furnished,Sem info,"R$3,300",R$266,R$50,"R$3,616"
39,1,191,3,3,4,1,acept,furnished,"R$2,605","R$15,000","R$1,299",R$191,"R$19,100"
40,1,25,1,1,0,14,acept,not furnished,R$257,"R$1,698",R$0,R$22,"R$1,977"
41,1,800,4,5,4,9,acept,not furnished,"R$6,000","R$15,000","R$3,334",R$191,"R$24,530"
42,1,340,3,4,3,-,acept,furnished,R$0,"R$9,800",R$392,R$148,"R$10,340"
43,1,90,2,1,0,-,not acept,not furnished,R$0,"R$1,450",R$50,R$22,"R$1,522"
44,0,650,5,4,8,-,acept,furnished,R$0,"R$8,500",R$442,R$128,"R$9,070"
45,1,100,2,2,0,1,acept,not furnished,R$0,"R$2,700",R$265,R$35,"R$3,000"
46,1,230,4,4,4,1,acept,furnished,"R$2,300","R$13,500","R$1,084",R$172,"R$17,060"
47,1,190,2,3,2,-,acept,not furnished,R$0,"R$13,050","R$1,284",R$197,"R$14,530"
48,1,205,4,4,6,5,acept,not furnished,"R$2,450","R$2,720",R$959,R$35,"R$6,164"
49,1,96,3,3,2,8,acept,not furnished,R$866,"R$1,790",R$90,R$23,"R$2,769"
50,1,396,4,4,4,-,acept,not furnished,R$0,"R$10,000",R$750,R$151,"R$10,900"
51,0,74,3,2,1,7,acept,not furnished,R$650,"R$1,600",R$250,R$21,"R$2,521"
52,0,30,1,1,0,5,not acept,furnished,R$380,R$500,R$10,R$7,R$897
53,1,64,3,2,1,7,acept,not furnished,R$522,"R$1,400",R$65,R$18,"R$2,005"
54,1,105,3,2,2,1,acept,furnished,"R$1,544","R$7,800",R$488,R$99,"R$9,931"
55,1,50,1,2,1,10,acept,furnished,"R$1,050","R$5,900",R$259,R$75,"R$7,284"
56,1,60,2,1,0,3,not acept,not furnished,R$400,"R$1,300",R$0,R$17,"R$1,717"
57,1,50,2,1,1,6,acept,furnished,R$585,"R$2,000",R$49,R$26,"R$2,660"
58,1,90,2,2,0,-,acept,not furnished,R$0,"R$1,700",R$38,R$26,"R$1,764"
59,1,130,3,2,1,8,not acept,furnished,"R$1,200","R$7,500",R$417,R$96,"R$9,213"
60,1,20,1,1,0,1,not acept,furnished,Incluso,"R$1,950",R$0,R$25,"R$1,975"
61,1,400,4,3,2,-,acept,not furnished,R$0,"R$5,650",R$338,R$85,"R$6,073"
62,1,220,3,3,5,-,acept,not furnished,R$0,"R$7,500",R$0,R$113,"R$7,613"
63,1,750,7,6,5,-,acept,furnished,R$0,"R$5,800",R$559,R$88,"R$6,447"
64,1,20,1,1,0,-,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
65,0,140,3,2,2,15,not acept,not furnished,R$998,"R$2,100",R$283,R$27,"R$3,408"
66,1,22,1,1,0,-,not acept,not furnished,R$250,"R$1,080",R$14,R$14,"R$1,358"
67,1,345,2,3,2,4,not acept,not furnished,"R$3,655","R$12,000",R$783,R$153,"R$16,590"
68,0,46,2,1,1,3,not acept,not furnished,R$250,"R$1,100",R$53,R$5,"R$1,408"
69,1,35,1,1,1,2,not acept,furnished,R$550,"R$3,250",R$30,R$42,"R$3,872"
70,0,72,2,2,1,2,acept,not furnished,R$500,"R$1,200",R$97,R$16,"R$1,813"
71,1,60,1,1,2,2,not acept,not furnished,"R$3,398","R$1,900",R$288,R$25,"R$5,611"
72,1,180,3,2,4,-,not acept,furnished,R$0,"R$11,000",R$667,R$166,"R$11,830"
73,1,83,3,2,1,9,not acept,furnished,R$805,"R$3,300",R$80,R$42,"R$4,227"
74,1,50,1,1,0,1,acept,not furnished,R$519,"R$1,550",R$28,R$20,"R$2,117"
75,1,38,1,1,1,14,not acept,furnished,"R$1,620","R$3,020",R$279,R$39,"R$4,958"
76,1,140,3,3,2,2,acept,not furnished,"R$1,300","R$2,800",R$292,R$36,"R$4,428"
77,0,62,2,1,1,3,acept,not furnished,R$485,R$980,R$48,R$13,"R$1,526"
78,1,70,1,1,0,2,acept,furnished,"R$1,500","R$4,000",R$284,R$51,"R$5,835"
79,0,55,1,1,0,14,acept,not furnished,R$600,"R$1,100",R$60,R$14,"R$1,774"
80,0,60,2,1,1,1,not acept,not furnished,R$430,R$815,R$20,R$6,"R$1,271"
81,1,85,2,2,1,6,acept,not furnished,"R$1,250","R$1,738",R$261,R$23,"R$3,272"
82,1,134,3,3,3,11,not acept,not furnished,"R$1,655","R$8,000",R$380,R$102,"R$10,140"
83,1,200,3,2,2,19,acept,not furnished,"R$2,573","R$10,000","R$1,121",R$127,"R$13,820"
84,1,170,3,2,2,-,acept,furnished,R$0,"R$3,900",R$267,R$59,"R$4,226"
85,1,46,1,1,2,16,acept,furnished,"R$2,210","R$6,220",R$255,R$79,"R$8,764"
86,1,20,1,1,0,4,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
87,1,58,2,2,1,5,not acept,furnished,"R$1,000","R$4,500",R$144,R$58,"R$5,702"
88,1,96,3,2,3,4,acept,not furnished,"R$1,024","R$2,350",R$313,R$30,"R$3,717"
89,1,190,3,3,3,6,acept,not furnished,"R$3,000","R$13,000",R$84,R$165,"R$16,250"
90,1,87,3,2,4,14,acept,not furnished,R$800,"R$2,000",R$67,R$26,"R$2,893"
91,1,42,1,1,0,5,acept,not furnished,R$350,"R$2,400",R$94,R$31,"R$2,875"
92,1,145,3,3,1,10,acept,furnished,"R$1,380","R$11,000",R$375,R$140,"R$12,900"
93,1,250,4,6,4,12,not acept,not furnished,"R$3,000","R$14,500",R$875,R$184,"R$18,560"
94,1,90,2,1,1,1,acept,not furnished,"R$1,000","R$3,000",R$50,R$39,"R$4,089"
95,1,250,6,2,2,-,acept,not furnished,R$0,"R$2,472",R$26,R$38,"R$2,536"
96,1,500,3,4,5,-,acept,furnished,R$0,"R$7,620","R$1,094",R$115,"R$8,829"
97,1,80,2,2,2,6,acept,furnished,"R$1,581","R$8,800",R$112,R$112,"R$10,610"
98,0,120,3,2,3,-,acept,not furnished,R$0,"R$2,500",R$180,R$38,"R$2,718"
99,0,265,3,3,2,-,acept,not furnished,R$0,"R$2,400",R$140,R$37,"R$2,577"
100,0,50,2,1,1,4,acept,not furnished,R$330,"R$1,080",R$0,R$14,"R$1,424"
101,0,126,3,3,2,1,acept,not furnished,R$780,"R$3,800",R$167,R$49,"R$4,796"
102,0,55,2,1,1,1,acept,not furnished,R$390,R$720,R$0,R$10,"R$1,120"
103,1,29,1,1,1,20,acept,furnished,R$700,"R$2,700",R$84,R$35,"R$3,519"
104,1,59,2,1,1,24,acept,not furnished,R$514,"R$2,450",R$138,R$32,"R$3,134"
105,1,200,2,4,4,4,acept,not furnished,"R$2,450","R$7,800","R$1,417",R$99,"R$11,770"
106,1,74,3,2,1,7,acept,not furnished,R$577,"R$2,196",R$100,R$28,"R$2,901"
107,1,290,4,5,2,6,acept,not furnished,"R$4,300","R$10,000",R$875,R$127,"R$15,300"
108,1,172,3,4,3,1,acept,not furnished,"R$1,596","R$8,000",R$820,R$102,"R$10,520"
109,1,25,1,1,0,5,not acept,furnished,R$270,"R$2,600",R$67,R$33,"R$2,970"
110,1,50,1,1,1,-,acept,not furnished,R$0,"R$1,100",R$0,R$17,"R$1,117"
111,1,40,1,1,0,3,acept,not furnished,R$300,"R$1,100",R$0,R$14,"R$1,414"
112,1,80,2,2,2,-,acept,not furnished,R$0,"R$2,465",R$0,R$38,"R$2,503"
113,1,280,6,6,3,-,acept,not furnished,R$0,"R$5,000","R$1,118",R$76,"R$6,194"
114,1,60,1,1,1,12,acept,furnished,R$850,"R$4,723",R$0,R$18,"R$5,591"
115,1,115,2,3,2,8,acept,not furnished,"R$1,380","R$12,000",R$790,R$153,"R$14,320"
116,1,540,3,3,4,9,acept,not furnished,"R$6,200","R$15,000","R$3,500",R$191,"R$24,890"
117,1,76,2,1,1,12,not acept,furnished,R$906,"R$4,250",R$217,R$54,"R$5,427"
118,0,150,4,5,2,1,acept,not furnished,"R$1,100","R$2,980",R$360,R$38,"R$4,478"
119,1,130,3,2,1,8,acept,not furnished,"R$2,400","R$5,500",R$209,R$70,"R$8,179"
120,0,64,2,1,1,-,acept,not furnished,R$441,R$730,R$18,R$10,"R$1,199"
121,1,55,2,2,1,2,acept,not furnished,R$420,"R$1,300",R$50,R$17,"R$1,787"
122,1,50,1,1,0,1,acept,not furnished,R$600,"R$1,300",R$0,R$17,"R$1,917"
123,1,120,2,3,2,20,acept,not furnished,"R$2,000","R$7,000",R$180,R$89,"R$9,269"
124,0,236,3,4,4,10,acept,not furnished,"R$1,600","R$11,000",R$440,R$140,"R$13,180"
125,0,30,1,1,0,4,acept,not furnished,R$336,R$550,R$10,R$7,R$903
126,0,270,3,3,0,-,acept,furnished,R$0,"R$8,000",R$500,R$121,"R$8,621"
127,0,48,1,1,0,9,acept,not furnished,R$350,R$670,R$21,R$9,"R$1,050"
128,0,198,6,3,4,-,acept,not furnished,R$0,"R$2,000",R$145,R$31,"R$2,176"
129,1,50,1,1,0,-,acept,not furnished,R$0,"R$1,080",R$59,R$17,"R$1,156"
130,1,185,3,3,3,20,acept,not furnished,"R$2,670","R$5,600",R$907,R$71,"R$9,248"
131,1,440,4,4,4,-,acept,not furnished,R$0,"R$12,000","R$2,500",R$181,"R$14,680"
132,0,119,3,2,2,7,acept,not furnished,"R$1,650","R$1,200",R$212,R$16,"R$3,078"
133,1,57,2,2,2,16,acept,not furnished,R$510,"R$1,690",R$11,R$22,"R$2,233"
134,1,65,2,1,1,1,acept,not furnished,R$100,"R$1,400",R$84,R$18,"R$1,602"
135,1,35,2,1,1,-,acept,not furnished,R$125,"R$2,100",R$0,R$32,"R$2,257"
136,0,51,1,2,1,16,not acept,not furnished,R$703,"R$2,100",R$150,R$27,"R$2,980"
137,0,70,2,3,1,7,acept,not furnished,"R$1,196","R$2,004",R$0,R$26,"R$3,226"
138,1,90,2,1,1,-,acept,not furnished,Incluso,"R$1,500",R$0,R$23,"R$1,523"
139,1,320,3,4,3,8,acept,not furnished,"R$3,400","R$6,800",R$1,R$87,"R$10,290"
140,1,250,7,5,2,-,acept,not furnished,R$0,"R$12,750","R$1,045",R$192,"R$13,990"
141,1,70,2,1,1,6,acept,not furnished,R$660,"R$3,800",R$45,R$49,"R$4,554"
142,1,169,4,6,3,7,acept,furnished,"R$2,560","R$10,000",R$734,R$127,"R$13,420"
143,1,33,1,1,0,1,not acept,not furnished,R$338,"R$1,100",R$63,R$14,"R$1,515"
144,1,225,4,4,3,7,acept,not furnished,"R$2,800","R$5,000","R$1,267",R$64,"R$9,131"
145,1,42,1,1,0,2,acept,furnished,R$0,"R$3,256",R$0,R$42,"R$3,298"
146,1,120,3,4,1,-,not acept,not furnished,R$0,"R$4,000",R$4,R$61,"R$4,065"
147,1,70,3,2,2,3,not acept,not furnished,R$750,"R$1,500",R$148,R$20,"R$2,418"
148,1,90,1,1,2,-,acept,furnished,R$0,"R$3,200",R$137,R$49,"R$3,386"
149,1,260,4,5,4,9,acept,furnished,"R$2,014","R$3,300","R$1,000",R$42,"R$6,356"
150,1,243,3,3,4,10,acept,not furnished,"R$2,678","R$5,500","R$1,950",R$70,"R$10,200"
151,1,100,1,1,0,-,acept,not furnished,R$0,"R$1,530",R$0,R$12,"R$1,542"
152,1,240,3,4,3,9,acept,not furnished,"R$3,211","R$5,100","R$1,102",R$65,"R$9,478"
153,0,45,1,1,1,4,acept,not furnished,R$700,R$870,R$46,R$12,"R$1,628"
154,1,65,1,1,1,2,acept,furnished,R$680,"R$5,000",R$14,R$64,"R$5,758"
155,1,47,1,1,0,4,not acept,not furnished,R$100,"R$1,000",R$76,R$13,"R$1,189"
156,1,60,2,1,0,2,acept,furnished,R$589,"R$3,300",R$65,R$42,"R$3,996"
157,1,340,4,6,6,-,acept,furnished,Sem info,"R$15,000",R$250,R$226,"R$15,480"
158,1,500,4,4,0,-,acept,not furnished,R$0,"R$6,000",R$467,R$91,"R$6,558"
159,1,55,2,1,1,14,acept,not furnished,R$420,"R$1,399",R$0,R$18,"R$1,837"
160,1,240,3,4,3,3,acept,furnished,"R$3,600","R$4,950","R$1,000",R$63,"R$9,613"
161,1,65,2,2,1,1,acept,not furnished,R$650,"R$2,315",R$0,R$7,"R$2,972"
162,1,68,1,1,0,-,not acept,not furnished,R$0,"R$1,213",R$0,R$6,"R$1,219"
163,1,500,4,4,3,-,acept,not furnished,Sem info,"R$10,800",R$988,R$163,"R$11,950"
164,1,198,2,2,2,13,acept,not furnished,"R$1,700","R$5,500",R$320,R$70,"R$7,590"
165,1,62,2,1,1,13,acept,not furnished,R$543,"R$2,200",R$59,R$28,"R$2,830"
166,1,60,2,2,1,4,acept,not furnished,R$632,"R$2,806",R$25,R$36,"R$3,499"
167,1,187,3,2,3,-,not acept,furnished,"R$1,700","R$8,400",R$584,R$127,"R$10,810"
168,1,25,1,1,0,23,acept,not furnished,R$432,"R$2,200",R$45,R$28,"R$2,705"
169,1,230,3,4,3,-,acept,not furnished,R$0,"R$3,600",R$409,R$55,"R$4,064"
170,1,17,1,1,0,1,not acept,furnished,R$300,"R$2,400",R$50,R$31,"R$2,781"
171,1,67,2,2,1,17,acept,not furnished,R$740,"R$2,200",R$170,R$28,"R$3,138"
172,1,20,1,1,0,1,acept,furnished,Incluso,"R$2,060",R$0,R$27,"R$2,087"
173,1,118,3,2,2,7,acept,furnished,"R$1,880","R$8,500",R$434,R$108,"R$10,920"
174,1,43,1,1,1,2,acept,not furnished,R$850,"R$2,430",R$172,R$31,"R$3,483"
175,1,195,2,3,1,10,acept,not furnished,"R$1,500","R$6,000",R$334,R$77,"R$7,911"
176,1,141,3,4,3,7,not acept,not furnished,"R$1,646","R$7,500",R$735,R$96,"R$9,977"
177,1,45,1,1,1,1,not acept,not furnished,R$550,"R$2,300",R$0,R$30,"R$2,880"
178,1,48,1,1,1,19,acept,not furnished,R$588,"R$1,525",R$0,R$6,"R$2,119"
179,1,280,3,4,2,3,not acept,not furnished,"R$4,000","R$6,000","R$1,059",R$77,"R$11,140"
180,1,170,3,2,2,5,not acept,not furnished,"R$2,199","R$5,000",R$423,R$64,"R$7,686"
181,1,90,3,2,1,-,acept,not furnished,R$0,"R$3,260",R$0,R$50,"R$3,310"
182,0,35,1,1,1,7,acept,not furnished,R$392,"R$1,100",R$13,R$14,"R$1,519"
183,1,16,1,1,0,8,not acept,not furnished,R$390,"R$2,300",R$100,R$30,"R$2,820"
184,0,68,1,1,1,10,not acept,furnished,R$600,"R$1,000",R$48,R$13,"R$1,661"
185,1,80,3,5,2,4,not acept,not furnished,"R$3,460","R$12,000","R$1,000",R$153,"R$16,610"
186,1,190,3,2,1,6,acept,furnished,"R$3,040","R$8,000",R$556,R$102,"R$11,700"
187,1,150,3,4,2,-,not acept,not furnished,R$0,"R$3,400",R$0,R$52,"R$3,452"
188,1,112,3,3,2,12,acept,furnished,"R$1,100","R$2,670",R$188,R$34,"R$3,992"
189,1,145,3,4,3,1,not acept,not furnished,"R$1,200","R$6,000",R$750,R$77,"R$8,027"
190,0,47,1,1,1,8,acept,not furnished,R$560,"R$1,100",R$46,R$14,"R$1,720"
191,1,128,3,2,1,3,acept,furnished,"R$1,094","R$4,529",R$242,R$58,"R$5,923"
192,1,250,3,4,4,-,acept,not furnished,R$0,"R$4,500",R$334,R$68,"R$4,902"
193,1,120,3,1,0,2,acept,not furnished,R$250,"R$1,460",R$0,R$21,"R$1,731"
194,1,110,2,2,2,-,not acept,not furnished,R$0,"R$2,700",R$300,R$41,"R$3,041"
195,1,400,2,5,4,-,acept,not furnished,R$0,"R$6,000",R$484,R$91,"R$6,575"
196,1,35,1,1,1,9,not acept,furnished,"R$1,050","R$2,600",R$317,R$33,"R$4,000"
197,1,107,2,2,2,18,acept,furnished,"R$1,800","R$12,800",R$417,R$163,"R$15,180"
198,1,97,2,2,0,1,acept,not furnished,"R$1,200","R$5,600",R$0,R$71,"R$6,871"
199,1,70,2,1,0,1,not acept,not furnished,R$350,"R$1,050",R$116,R$14,"R$1,530"
200,1,20,1,1,0,3,not acept,furnished,R$150,"R$3,142",R$67,R$40,"R$3,399"
201,1,130,3,2,2,6,acept,not furnished,"R$1,100","R$3,500",R$209,R$45,"R$4,854"
202,1,120,3,2,3,16,acept,not furnished,"R$1,400","R$2,000",R$292,R$26,"R$3,718"
203,1,110,3,3,2,2,acept,furnished,"R$1,000","R$3,800",R$192,R$49,"R$5,041"
204,1,300,3,5,3,-,acept,not furnished,R$0,"R$11,900",R$250,R$179,"R$12,330"
205,1,349,4,5,4,8,not acept,not furnished,"R$3,100","R$11,000",R$0,R$140,"R$14,240"
206,1,97,3,2,2,1,acept,not furnished,R$730,"R$3,000",R$303,R$39,"R$4,072"
207,1,84,4,1,3,5,not acept,not furnished,"R$1,914","R$6,000",R$804,R$77,"R$8,795"
208,1,180,2,2,1,-,not acept,not furnished,R$0,"R$2,800",R$105,R$43,"R$2,948"
209,1,286,4,4,5,-,acept,not furnished,R$0,"R$10,000","R$1,000",R$151,"R$11,150"
210,1,500,5,7,5,22,acept,not furnished,"R$5,500","R$14,000","R$2,084",R$178,"R$21,760"
211,1,110,3,3,3,4,acept,not furnished,"R$1,195","R$2,350",R$670,R$30,"R$4,245"
212,1,196,4,4,0,11,acept,not furnished,"R$2,450","R$6,000","R$1,458",R$77,"R$9,985"
213,1,33,1,1,1,12,not acept,not furnished,R$552,"R$4,150",R$95,R$53,"R$4,850"
